first_name	last_name	middle_name	name_suffix	uri	display_name	name_prefix
Nuria	&#193;lvarez			http://vivo.health.unm.edu/individual/n1529154164	&#193;lvarez, Nuria	
Johan	&#196;rnl&#246;v			http://vivo.health.unm.edu/individual/n1564090464	&#196;rnl&#246;v, Johan	
Mustafa	&#199;etin			http://vivo.health.unm.edu/individual/n819889545	&#199;etin, Mustafa S	
Anna	&#214;fverholm			http://vivo.health.unm.edu/individual/n1197672810	&#214;fverholm, Anna	
Jenny	&#214;hman			http://vivo.health.unm.edu/individual/n1777341795	&#214;hman, Jenny	
Karin	&#214;nnheim			http://vivo.health.unm.edu/individual/n1077857561	&#214;nnheim, Karin	
Anne	&#216;sterlind			http://vivo.health.unm.edu/individual/n1414992528	&#216;sterlind, Anne	
Jessica	A Brockmeyer			http://vivo.health.unm.edu/individual/n556906392	A Brockmeyer, Jessica	
Joshua	Aaker			http://vivo.health.unm.edu/individual/n953871417	Aaker, Joshua	
Jenny	Aalborg			http://vivo.health.unm.edu/individual/n225103885	Aalborg, Jenny	
Cora	Aalfs			http://vivo.health.unm.edu/individual/n588750027	Aalfs, Cora M	
Jorma	Aarnio			http://vivo.health.unm.edu/individual/n374552030	Aarnio, Jorma	
Gregory	Aarons			http://vivo.health.unm.edu/individual/n1479766730	Aarons, Gregory A	
R	Aarons			http://vivo.health.unm.edu/individual/n639182441	Aarons, R D	
Scott	Aaronson			http://vivo.health.unm.edu/individual/n676038890	Aaronson, Scott T	
Trond	Aarre			http://vivo.health.unm.edu/individual/n1491984005	Aarre, Trond F	
Jacobo	Abadi			http://vivo.health.unm.edu/individual/n310400791	Abadi, Jacobo	
Ruben	Abagyan			http://vivo.health.unm.edu/individual/n630077308	Abagyan, Ruben	
Mohammad	Abai			http://vivo.health.unm.edu/individual/n2024891670	Abai, Mohammad R	
Inmaaculada	Aban			http://vivo.health.unm.edu/individual/n1297071364	Aban, Inmaaculada	
R	Abarbanel			http://vivo.health.unm.edu/individual/n10423608	Abarbanel, R A	
R	Abarbanel			http://vivo.health.unm.edu/individual/n1090986237	Abarbanel, R M	
Juan	Abarca			http://vivo.health.unm.edu/individual/n1715610321	Abarca, Juan	
Menna	Abaye			http://vivo.health.unm.edu/individual/n41688019	Abaye, Menna	
Caroline	Abbas			http://vivo.health.unm.edu/individual/n1375993583	Abbas, Caroline	
Mohammad	Abbas			http://vivo.health.unm.edu/individual/n1464879551	Abbas, Mohammad	
Naheed	Abbasi			http://vivo.health.unm.edu/individual/n663442300	Abbasi, Naheed R	
Soraya	Abbasi			http://vivo.health.unm.edu/individual/n863643966	Abbasi, Soraya	
Allan	Abbass			http://vivo.health.unm.edu/individual/n1631462664	Abbass, Allan	
J	Abbott			http://vivo.health.unm.edu/individual/n1762512694	Abbott, J Dawn	
Kathy	Abbott			http://vivo.health.unm.edu/individual/n1365374633	Abbott, Kathy	
Patrick	Abbott			http://vivo.health.unm.edu/individual/n444675627	Abbott, Patrick J	
R	Abbott			http://vivo.health.unm.edu/individual/n1813773842	Abbott, R	
Hanna	Abboud			http://vivo.health.unm.edu/individual/n968093718	Abboud, Hanna	
James	Abbruzzese			http://vivo.health.unm.edu/individual/n852619670	Abbruzzese, James L	
Eddie	Abdalla			http://vivo.health.unm.edu/individual/n1911378150	Abdalla, Eddie K	
J	Abdallah			http://vivo.health.unm.edu/individual/n461384786	Abdallah, J	
Khaled	Abdel-Kader			http://vivo.health.unm.edu/individual/n50235974	Abdel-Kader, Khaled	
Kotb	Abdelmohsen			http://vivo.health.unm.edu/individual/n1348597788	Abdelmohsen, Kotb	
Ahmed	Abdelmoity			http://vivo.health.unm.edu/individual/n437452556	Abdelmoity, Ahmed T	
Maryam	Abdul-Jaleel			http://vivo.health.unm.edu/individual/n1876708689	Abdul-Jaleel, Maryam	
Rania	Abdulla			http://vivo.health.unm.edu/individual/n2146253358	Abdulla, Rania	
Solome	Abebe			http://vivo.health.unm.edu/individual/n2145232996	Abebe, Solome	
Yegeremu	Abebe			http://vivo.health.unm.edu/individual/n1076191417	Abebe, Yegeremu	
Gon&#231;alo	Abecasis			http://vivo.health.unm.edu/individual/n1113171629	Abecasis, Gon&#231;alo R	
M	Abecassis			http://vivo.health.unm.edu/individual/n1016805178	Abecassis, M M	
Husam	Abed			http://vivo.health.unm.edu/individual/n1741649815	Abed, Husam T	
Medrdad	Abedi			http://vivo.health.unm.edu/individual/n1897367941	Abedi, Medrdad	
A	Abel			http://vivo.health.unm.edu/individual/n620709535	Abel, A L	
Katja	Aben			http://vivo.health.unm.edu/individual/n3736867259	Aben, Katja K H	
Katja	Aben			http://vivo.health.unm.edu/individual/n999116649	Aben, Katja K H	
Katja	Aben			http://vivo.health.unm.edu/individual/nhttp://vivo.health.unm.edu/individual/n999116649	Aben, Katja K H	
